relation,gold_mean,gold_count
"sports.sports_championship_event.championship",14.1197,1
"computer.file_format.extended_from",13.8512,3
"business.brand.parent_brand",13.7664,1
"exhibitions.exhibit.exhibitions_displayed_in",13.6802,3
"wine.fruit_source.wines",13.6730,1
"computer.software_genre.parent_genre",13.6648,2
"theater.theater.theatrical_productions_staged_here",13.5947,1
"computer.internet_protocol.software_used_by",13.5874,1
"book.isbn.book_editions",13.5708,1
"sports.defunct_sports_team.sport",13.5530,1
"theater.theater_company.plays_produced",13.5471,1
"comic_books.comic_book_penciler.comic_books_penciled",13.5340,2
"comic_books.comic_book_series.continues",13.5329,1
"music.album_release_type.albums",13.5315,1
"meteorology.tropical_cyclone_category.maximum_wind_speed_gust_km_h",13.5286,1
"government.general_election.contests",13.5258,1
"music.album.album_content_type",13.5090,1
"government.government_agency.successor_agency",13.4989,1
"geography.glacier.glacier_type",13.4981,1
"automotive.engine.horsepower",13.4829,16
"royalty.chivalric_title.order_of_chivalry",13.4598,2
"food.dish.recipes",13.4597,3
"religion.religious_organization.member_organizations",13.4461,1
"music.genre.subgenre",13.4373,1
"cricket.cricket_match.toss_winner",13.4276,1
"tv.tv_program.spin_offs",13.4218,1
"bicycles.bicycle_type.bicycle_models_of_this_type",13.4101,1
"book.interviewee.interviews_given",13.3993,1
"fictional_universe.fictional_character.parents",13.3972,1
"opera.opera_producer.operas_produced",13.3744,1
"internet.website.sub_web_properties",13.3597,1
"internet.top_level_domain_status.domains",13.3589,2
"tv.tv_series_episode.previous_episode",13.3468,1
"automotive.platform.successor",13.3309,1
"exhibitions.exhibition.exhibits",13.3082,1
"amusement_parks.roller_coaster_propulsion_system.roller_coasters",13.2844,1
"food.drinking_establishment_type.establishments_of_this_type",13.2809,1
"amusement_parks.ride_manufacturer.rides",13.2236,1
"organization.organization_type.organizations_of_this_type",13.2035,1
"automotive.model.related",13.1944,1
"military.military_unit.unit_size",13.1713,2
"royalty.royal_line.succeeded_by",13.1677,3
"digicams.camera_sensor_manufacturer.cameras",13.1600,3
"computer.programming_language.parent_language",13.1536,1
"medicine.medical_treatment.contraindications",13.1328,4
"media_common.media_genre.parent_genre",13.1315,1
"music.producer.releases_produced",13.0635,2
"meteorology.cyclone_affected_area.cyclones",13.0576,1
"government.governmental_body.jurisdiction",13.0381,2
"theater.theater_genre.plays_in_this_genre",13.0256,1
"distilled_spirits.distilled_spirit_type.spirits",13.0200,1
"medicine.drug_pregnancy_category.drugs_in_this_category",13.0168,1
"education.school.lowest_grade_taught",13.0105,1
"geology.rock_type.formations",13.0022,1
"wine.wine_type.wines",12.9941,1
"book.periodical_subject.periodicals",12.9881,3
"education.fraternity_sorority_type.fraternities_and_sororities",12.9866,1
"medicine.drug_class.drugs",12.9824,2
"aviation.iata_airline_designator.airline",12.9333,2
"time.time_zone.day_dst_ends",12.8683,1
"automotive.generation.model",12.8589,1
"government.governmental_body.body_this_is_a_component_of",12.8564,1
"sports.multi_event_tournament.events",12.8472,1
"astronomy.celestial_object_category.objects",12.8459,1
"book.newspaper_owner.newspapers_owned",12.8455,2
"soccer.football_player_loan.borrowing_team",12.8405,2
"music.compositional_form.subforms",12.8405,1
"zoos.zoo_category.zoos",12.8282,1
"computer.file_format.contained_by",12.8279,1
"medicine.drug.physiologic_effect",12.8266,1
"fictional_universe.fictional_object_destruction_method.fictional_objects_destroyed",12.8162,1
"biology.organism_classification_rank.organism_classifications",12.8137,1
"type.type.extends",12.7951,6
"theater.theater_choreographer.plays_choreographed",12.7826,1
"biology.organism_classification.latest_fossil_record",12.7637,1
"military.armed_force.units",12.7609,1
"food.drinking_establishment.drinking_establishment_type",12.7533,1
"engineering.piston_configuration.engines",12.7514,1
"theater.theater_director.plays_directed",12.7503,1
"biology.organism.parents",12.7431,1
"skiing.ski_run.served_by",12.7401,5
"digicams.camera_color_filter_array_type.cameras",12.7330,1
"royalty.system_of_nobility.country_of_origin",12.7130,1
"astronomy.satellite_galaxy.satellite_of_this_galaxy",12.7121,1
"government.poll_respondent_category.polls",12.7121,1
"education.field_of_study.academics_in_this_field",12.6939,1
"astronomy.asteroid_family.founding_asteroid_family_member",12.6923,1
"book.written_work.previous_in_series",12.6883,1
"education.school.highest_grade_taught",12.6756,2
"geography.island_group.islands_in_group",12.6578,1
"royalty.noble_title.noble_rank",12.6529,1
"projects.project_focus.projects",12.6483,1
"travel.guidebook_series.guidebooks",12.6431,1
"music.guitarist.guitars_played",12.6375,2
"food.dietary_restriction.compatible_ingredients",12.6375,1
"computer.computer_processor.processor_family",12.6125,18
"royalty.royal_line.preceded_by",12.6094,2
"astronomy.comet.last_perihelion",12.6031,1
"protected_sites.site_listing_category.category_of",12.5897,1
"food.beer_style.beers",12.5885,1
"music.music_video_choreographer.music_videos_choreographed",12.5855,1
"geography.lake.inflow",12.5840,1
